FBti0148144	1341	F	X-element	1	X-element	-	-	1167	1241	1	15	15	0	0	-	-	-	-	-	-	-
2L	5588	F	1360	0.875	1360	-	-	5414	5488	0.875	8	7	1	0	-	-	-	-	-	-	-
2L	9864	F	Idefix	0.916666666666667	Idefix	FBti0060580	ncorrdist=127	9593	9667	0.916666666666667	12	11	1	0	-	-	-	-	-	-	-
2L	24364.5	FR	INE-1	1	INE-1	FBti0059812	ncorrdist=109	24107	24181	1	18	18	0	0	24548	24622	1	9	9	0	0
2L	27654.5	FR	INE-1	1	INE-1	FBti0059814	ncorrdist=125	27381	27455	1	8	8	0	0	27854	27928	1	20	20	0	0
2L	64641	FR	X-element	1	X-element	FBti0019093	ncorrdist=103	64186	64260	1	17	17	0	0	65022	65096	1	7	7	0	0
2L	116765	F	INE-1	1	INE-1	FBti0060557	ncorrdist=119	116383	116457	1	8	8	0	0	-	-	-	-	-	-	-
2L	176453.5	FR	I-element	1	I-element	FBti0019095	ncorrdist=230	176214	176278	1	10	10	0	0	176629	176703	1	5	5	0	0
2L	178325	FR	INE-1	1	INE-1	FBti0060560	ncorrdist=104	178030	178104	1	5	5	0	0	178546	178620	1	8	8	0	0
2L	179869.5	FR	INE-1	1	INE-1	FBti0060561	ncorrdist=108	179584	179658	1	10	10	0	0	180081	180155	1	8	8	0	0
2L	305435.5	FR	F-element	0.67032967032967	F-element	-	ncorrdist=118	305302	305376	0.571428571428571	7	4	3	0	305495	305569	0.769230769230769	13	10	3	0
2L	468051.5	FR	Doc	0.6875	Doc	-	ncorrdist=98	467928	468002	0.625	8	5	3	0	468101	468175	0.75	12	9	3	0
2L	629862	R	copia	0.272727272727273	copia	-	-	-	-	-	-	-	-	-	629962	630036	0.272727272727273	11	3	8	0
2L	639885	FR	opus	0.694736842105263	opus	-	ncorrdist=193	639717	639788	0.6	10	6	4	0	639982	640056	0.789473684210526	19	15	4	0
2L	754245	F	412	0.333333333333333	412	-	-	754071	754145	0.333333333333333	9	3	6	0	-	-	-	-	-	-	-
2L	1323138	F	F-element	0.555555555555556	F-element	-	ncorrdist=155	1322986	1323060	0.555555555555556	9	5	4	0	-	-	-	-	-	-	-
2L	1342701	F	blood	0.8	blood	-	ncorrdist=139	1342557	1342631	0.8	15	12	3	0	-	-	-	-	-	-	-
2L	1642774	R	412	0.5	412	-	-	-	-	-	-	-	-	-	1642874	1642948	0.5	6	3	3	0
2L	1651186	F	P-element	0.277777777777778	P-element	-	-	1651016	1651086	0.277777777777778	18	5	13	0	-	-	-	-	-	-	-
2L	1736706	F	gypsy5	0.666666666666667	gypsy5	-	-	1736532	1736606	0.666666666666667	9	6	3	0	-	-	-	-	-	-	-
2L	1886118	FR	412	0.696969696969697	412	-	ncorrdist=131	1885978	1886052	0.727272727272727	11	8	3	0	1886184	1886254	0.666666666666667	9	6	3	0
2L	1892025.5	FR	roo	0.513888888888889	roo	-	ncorrdist=98	1891902	1891976	0.583333333333333	12	7	5	0	1892075	1892149	0.444444444444444	9	4	5	0
2L	1908000	F	F-element	0.666666666666667	F-element	-	-	1907826	1907900	0.666666666666667	6	4	2	0	-	-	-	-	-	-	-
2L	2018911.5	FR	X-element	1	X-element	-	ncorrdist=101	2018325	2018399	1	9	9	0	0	2019424	2019498	1	8	8	0	0
2L	2019624.5	FR	X-element	1	X-element	-	ncorrdist=111	2019364	2019438	1	12	12	0	0	2019811	2019885	1	5	5	0	0
2L	2317711	F	INE-1	0.7	INE-1	-	-	2317561	2317611	0.7	10	7	3	0	-	-	-	-	-	-	-
2L	2345705.5	F	hopper	0.777777777777778	hopper	-	ncorrdist=102	2345580	2345654	0.777777777777778	9	7	2	0	-	-	-	-	-	-	-
2L	2494144.5	FR	invader2	1	invader2	-	ncorrdist=112	2493841	2493915	1	12	12	0	0	2494374	2494448	1	8	8	0	0
2L	2621530.5	F	BS	0.571428571428571	BS	-	ncorrdist=156	2621378	2621452	0.571428571428571	7	4	3	0	-	-	-	-	-	-	-
2L	2628487	F	X-element	0.444444444444444	X-element	-	-	2628313	2628387	0.444444444444444	9	4	5	0	-	-	-	-	-	-	-
2L	2684780.5	F	Tirant	0.75	Tirant	-	ncorrdist=158	2684627	2684701	0.75	12	9	3	0	-	-	-	-	-	-	-
2L	2700427	R	jockey	0.333333333333333	jockey	-	-	-	-	-	-	-	-	-	2700527	2700601	0.333333333333333	6	2	4	0
2L	2932522	R	412	0.25	412	-	-	-	-	-	-	-	-	-	2932622	2932696	0.25	16	4	12	0
2L	2934402.5	FR	pogo	1	pogo	FBti0019112	ncorrdist=130	2933190	2933264	1	7	7	0	0	2935541	2935615	1	7	7	0	0
2L	2935523	R	copia	1	copia	-	-	-	-	-	-	-	-	-	2935623	2935682	1	5	5	0	0
2L	3112892	F	297	0.571428571428571	297	-	-	3112718	3112792	0.571428571428571	7	4	3	0	-	-	-	-	-	-	-
2L	3141476.5	FR	FB	0.303030303030303	FB	-	ncorrdist=150	3141327	3141401	0.272727272727273	11	3	8	0	3141552	3141626	0.333333333333333	15	5	10	0
2L	3187441.5	FR	mdg3	0.375	mdg3	-	ncorrdist=138	3187298	3187372	0.25	8	2	6	0	3187511	3187585	0.5	8	4	4	0
2L	3226181	R	412	0.833333333333333	412	-	-	-	-	-	-	-	-	-	3226281	3226324	0.833333333333333	6	5	1	0
2L	3462925.5	FR	INE-1	1	INE-1	FBti0063035	ncorrdist=143	3462571	3462645	1	15	15	0	0	3463206	3463280	1	10	10	0	0
2L	3927342	R	roo	0.285714285714286	roo	-	-	-	-	-	-	-	-	-	3927442	3927516	0.285714285714286	7	2	5	0
2L	3944280	R	Quasimodo	0.8	Quasimodo	-	-	-	-	-	-	-	-	-	3944380	3944454	0.8	5	4	1	0
2L	4030630	FR	INE-1	1	INE-1	FBti0063043	ncorrdist=101	4030385	4030459	1	11	11	0	0	4030801	4030875	1	9	9	0	0
2L	4074156	FR	roo	0.418181818181818	roo	-	ncorrdist=125	4074019	4074093	0.2	10	2	8	0	4074219	4074293	0.636363636363636	11	7	4	0
2L	4182592	FR	FB	0.633333333333333	FB	FBti0063046	ncorrdist=235	4181088	4181162	0.6	5	3	2	0	4184022	4184096	0.666666666666667	9	6	3	0
2L	4189331	R	17.6	0.846153846153846	17.6	-	-	-	-	-	-	-	-	-	4189431	4189505	0.846153846153846	13	11	2	0
2L	4248522.5	FR	roo	0.828571428571429	roo	-	ncorrdist=130	4248383	4248457	0.8	5	4	1	0	4248588	4248662	0.857142857142857	7	6	1	0
2L	4301572	F	jockey	0.444444444444444	jockey	-	-	4301398	4301472	0.444444444444444	9	4	5	0	-	-	-	-	-	-	-
2L	4425429	FR	jockey	0.458333333333333	jockey	-	ncorrdist=101	4425304	4425378	0.666666666666667	15	10	5	0	4425480	4425554	0.25	12	3	9	0
